plate_barcode,position,well_type,replicate_group,media_ref_override,media_volume_ul,inoculum_volume_ul,sample_id,strain_arm,violation_note
EPix1-complex,C4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-C4,KT2440,
EPix1-complex,C5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-C5,KT2440,
EPix1-complex,C6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-C6,KT2440,
EPix1-complex,C7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-C7,BL21,
EPix1-complex,C8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-C8,BL21,
EPix1-complex,C9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-C9,BL21,
EPix1-complex,C10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-C10,BL21,
EPix1-complex,C11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-C11,BL21,
EPix1-complex,C12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-C12,BL21,
EPix1-complex,D1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-D1,KT2440,
EPix1-complex,D2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-D2,KT2440,
EPix1-complex,D3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-D3,KT2440,
EPix1-complex,D4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-D4,KT2440,
EPix1-complex,D5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-D5,KT2440,
EPix1-complex,D6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-D6,KT2440,
EPix1-complex,D7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-D7,BL21,
EPix1-complex,D8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-D8,BL21,
EPix1-complex,D9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-D9,BL21,
EPix1-complex,D10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-D10,BL21,
EPix1-complex,D11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,,BL21-D11,BL21,[C5] inoculum_volume_ul missing (required)
EPix1-complex,D12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-D12,BL21,
EPix1-complex,E1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-E1,KT2440,
EPix1-complex,E2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-E2,KT2440,
EPix1-complex,E3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-E3,KT2440,
EPix1-complex,E4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-E4,KT2440,
EPix1-complex,E5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-E5,KT2440,
EPix1-complex,E6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-E6,KT2440,
EPix1-complex,E7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-E7,BL21,
EPix1-complex,E8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-E8,BL21,
EPix1-complex,E9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-E9,BL21,
EPix1-complex,E10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-E10,BL21,
EPix1-complex,E11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-E11,BL21,
EPix1-complex,E12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-E12,BL21,
EPix1-complex,F1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-F1,KT2440,
EPix1-complex,F2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-F2,KT2440,
EPix1-complex,F3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-F3,KT2440,
EPix1-complex,F4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-F4,KT2440,
EPix1-complex,F5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-F5,KT2440,
EPix1-complex,F6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-F6,KT2440,
EPix1-complex,F7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-F7,BL21,
EPix1-complex,F8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-F8,BL21,
EPix1-complex,F9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-F9,BL21,
EPix1-complex,F10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-F10,BL21,
EPix1-complex,F11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-F11,BL21,
EPix1-complex,F12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-F12,BL21,
EPix1-complex,G1,sample,rep_1,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-G1,KT2440,
EPix1-complex,G2,sample,rep_2,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-G2,KT2440,
EPix1-complex,G3,sample,rep_3,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-G3,KT2440,
EPix1-complex,G4,sample,rep_4,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-G4,KT2440,
EPix1-complex,G5,sample,rep_5,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-G5,KT2440,
EPix1-complex,G6,sample,rep_6,urn:amp2:ps:M9-glucose-batch-002,180.0,20.0,KT2440-G6,KT2440,
EPix1-complex,G7,sample,rep_7,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-G7,BL21,
EPix1-complex,G8,sample,rep_8,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-G8,BL21,
EPix1-complex,G9,sample,rep_9,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-G9,BL21,
EPix1-complex,G10,sample,rep_10,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-G10,BL21,
EPix1-complex,G11,sample,rep_11,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-G11,BL21,
EPix1-complex,G12,sample,rep_12,urn:amp2:ps:LB-media-batch-001,180.0,20.0,BL21-G12,BL21,
EPix1-complex,H1,blank,,,200.0,0.0,,,
EPix1-complex,H2,blank,,,200.0,0.0,,,
EPix1-complex,H3,blank,,,200.0,0.0,,,
EPix1-complex,H4,blank,,,200.0,0.0,,,
EPix1-complex,H5,blank,,,200.0,0.0,,,
EPix1-complex,H6,blank,,,200.0,0.0,,,
EPix1-complex,H7,blank,,,200.0,0.0,,,
EPix1-complex,H8,blank,,,200.0,0.0,,,
EPix1-complex,H9,blank,,,200.0,0.0,,,
EPix1-complex,H10,blank,,,200.0,0.0,,,
EPix1-complex,H11,blank,,,200.0,0.0,,,
EPix1-complex,H12,blank,,,200.0,0.0,,,
